	question	answer
9020	Я люблю его архитектуру и историю.	Ты говоришь о каком городе?
9021	Ты говоришь о каком городе?	Ах, я понимаю, ты говоришь о Санкт-Петербурге.
9022	Как прошел твой день?	День был неплохим, спасибо за спрос. А у тебя как дела?
9023	День был неплохим, спасибо за спрос. А у тебя как дела?	У меня тоже все хорошо, только занятость на работе затянулась до позднего вечера.
9024	Ты пробовал эту новую закуску? Как она на вкус?	Я только что попробовал. Это действительно вкусно!
9025	Я только что попробовал. Это действительно вкусно!	Она слегка острая, но в то же время очень ароматная.
9026	Я устал слышать твои оправдания.	Что тебя так задело?
9027	Что тебя так задело?	Ты всегда такой агрессивный?
9028	Привет, как дела?	Привет! У меня все хорошо. А у тебя?
9029	Привет! У меня все хорошо. А у тебя?	Тоже неплохо. А ты знаешь, что сегодня день города?
9030	Здравствуйте, как я могу вам помочь?	Добрый день! Я бы хотел купить новый смартфон.
9031	Добрый день! Я бы хотел купить новый смартфон.	Очень хорошо, у нас есть большой выбор смартфонов. Какой бюджет вы планируете на покупку?
9032	Ты замечаешь, что происходит вокруг нас? Это конечно невероятно...	Что именно ты имеешь в виду?
9033	Что именно ты имеешь в виду?	Ну, посмотри. Вот эта архитектура здания! Это же произведение искусства!
9034	Неплохой выбор ресторана. Жаль только, что мы сюда пришли с полчаса назад и сидели в машине все это время изза пробок.	Так бывает в городе, особенно в час пик.
9035	Не так много, но если уж на то пошло, то я бы порекомендовала вам взять другую марку. Эта не особенно хороша по качеству.	А что вы можете порекомендовать?
9036	А что вы можете порекомендовать?	Возможно, вам стоит попробовать марку X, у них отличная репутация в сфере качества.
9037	А ты знаешь, что сейчас лучший сезон для грибов? Давай заберемся на выходные в лес и соберем их много!	Я бы с удовольствием, но я никогда не занимался сбором грибов и боюсь перепутать их.
9038	Я бы с удовольствием, но я никогда не занимался сбором грибов и боюсь перепутать их.	Не переживай, я знаю все основные виды грибов и помогу разобраться.
9039	Привет! Как дела?	"Здравствуйте! Я бот. У меня всегда все хорошо.
А у вас?"
9040	"Здравствуйте! Я бот. У меня всегда все хорошо.
А у вас?"	"У меня тоже все отлично, спасибо.
Какой у вас любимый цвет?"
9041	Как твой день прошел?	Отлично! Сегодня я успела сделать все, что планировала. А у тебя?
9042	Отлично! Сегодня я успела сделать все, что планировала. А у тебя?	Неплохо, но был очень напряженный рабочий день. Хорошо, что уже все кончилось.
9043	Ты должен был догадаться, что я не буду согласен на это.	Почему ты так считаешь? Я считаю, что это было бы очень полезно для нас.
9044	Почему ты так считаешь? Я считаю, что это было бы очень полезно для нас.	Но мы рискуем потерять много, если согласимся на это. Я не готов к такому риску.
9045	Привет! Как дела?	Привет! Хорошо, спасибо. А у тебя?
9046	Привет! Хорошо, спасибо. А у тебя?	У меня тоже все хорошо. Ты знал, что на Земле есть более 8 миллионов видов животных?
9047	Первый факт: Географический центр России находится в Красноярском крае.	На этой территории стоит 50-метровый столб с флагом России.
9048	На этой территории стоит 50-метровый столб с флагом России.	Еще один факт: В Москве находится самый большой в Европе ботанический сад.
9049	Как прошел твой день?	Спасибо, хорошо. Я сделал/а много работы и даже успел/а сходить в спортзал.
9050	Спасибо, хорошо. Я сделал/а много работы и даже успел/а сходить в спортзал.	А как прошел твой день? Чем занимался/лась?
9051	Я не знаю, что делать со своими сбережениями.	Может быть, тебе стоит обратиться к инвестиционным консультантам?
9052	Может быть, тебе стоит обратиться к инвестиционным консультантам?	Также можно вложить деньги в недвижимость. Это надежный и прибыльный вариант.
9053	Здравствуйте, как мне называть вас?	Добрый день, меня зовут Андрей. Чем я могу вам помочь?
9054	Добрый день, меня зовут Андрей. Чем я могу вам помочь?	Мне нужно купить новый телефон
9055	Я не хочу больше видеть тебя рядом со мной.	Почему? Что я сделала?
9056	Почему? Что я сделала?	Я просто не хочу тебя видеть. Это мое решение.
9057	Привет, как дела?	Привет! Все отлично, спасибо. А у тебя?
9058	Привет! Все отлично, спасибо. А у тебя?	У меня тоже хорошо. Знаешь ли ты, что гораздо большее количество населения Земли находится в Азии, чем в остальных регионах мира?
9059	Добрый день! Как дела?	Здравствуйте! У меня все хорошо, спасибо за спрос. А у вас?
9060	Здравствуйте! У меня все хорошо, спасибо за спрос. А у вас?	У меня тоже все отлично. Я знаю, что 7 и 5 равно 12. А какое произведение чисел 3 и 8?
9061	Какого цвета кошки бывают?	Кошки могут быть разных цветов, например черные, белые, серые, рыжие и т.д.
9062	Кошки могут быть разных цветов, например черные, белые, серые, рыжие и т.д.	А сколько зубов у человека?
9063	Здравствуйте, как вам день?	Добрый день, у меня все хорошо, спасибо. А у вас?
9064	Добрый день, у меня все хорошо, спасибо. А у вас?	У меня тоже все в порядке. Вы знаете, что сегодня произошло значительное снижение курса доллара
9065	Москва - столица России.	Этот город был основан в 1147 году.
9066	Этот город был основан в 1147 году.	Площадь Красной площади составляет около 73 тысяч квадратных метров.
9067	Я так устала сегодня ...	Ты точно хочешь пойти на вечеринку?
9068	Ты точно хочешь пойти на вечеринку?	Да, конечно! Это же будет весело!
9069	Привет, я слышал, что ты любишь книги. Это правда?	Да, это правда. Книги - моя большая страсть.
9070	Да, это правда. Книги - моя большая страсть.	А какие жанры ты предпочитаешь?
9071	Америка - самая большая страна в мире?	Нет, это Россия.
9072	Нет, это Россия.	Что такое кардинальное число?
9073	Я узнал интересный факт о тиграх	Что же ты узнал?
9074	Что же ты узнал?	Тигры могут прыгать в высоту до пяти метров
9075	Привет, я только что узнал, что наша планета вращается вокруг Солнца.	Да, это верно. Планета Земля находится на орбите вокруг Солнца.
9076	Да, это верно. Планета Земля находится на орбите вокруг Солнца.	А знаешь ли ты, что Солнце - это звезда?
9077	Какой у тебя любимый фильм?	Мой любимый фильм - 'Зеленая миля'
9078	Мой любимый фильм - 'Зеленая миля'	А твой любимый фильм какой?
9079	Какая максимальная скорость света?	Cвет распространяется со скоростью приблизительно 299 792 458 метров в секунду.
9080	Cвет распространяется со скоростью приблизительно 299 792 458 метров в секунду.	А почему равенство между массой и энергией стало важной теорией?
9081	Ты знаешь, что меня беспокоит в нашей отношениях?	Нет, что именно тебя беспокоит?
9082	Нет, что именно тебя беспокоит?	Мне кажется, что мы недостаточно общаемся последнее время.
9083	Трудно быть самим собой в мире, где все стремятся выглядеть лучше, чем они есть на самом деле. 	Но это не повод изменять себя ради окружающих. Важно находиться в гармонии со своими желаниями и ценностями.
9084	Но это не повод изменять себя ради окружающих. Важно находиться в гармонии со своими желаниями и ценностями.	Будь верен себе и поступай так, как тебе кажется правильным. В конце концов, это твоя жизнь и ты не должен жить ее для кого-то еще.
9085	Нет, пока еще ищу.	А что тебе именно нравится в поиске работы?
9086	А что тебе именно нравится в поиске работы?	Я люблю искать новые возможности и вызовы. Это даёт мне шанс расти в профессиональном плане.
9087	Москва — столица России.	Действительно, город Москва является столицей Российской Федерации.
9088	Действительно, город Москва является столицей Российской Федерации.	В Москве есть большое количество культурных объектов.
9089	Мой любимый цвет - красный	Красный цвет символизирует страсть и энергию
9090	Красный цвет символизирует страсть и энергию	Мне нравится слушать музыку
9091	Да, я очень люблю футбол. А ты занимаешься каким-нибудь спортом?	Да, я занимаюсь йогой и плаванием. А тебе нравится эта команда?
9092	Да, я занимаюсь йогой и плаванием. А тебе нравится эта команда?	Да, очень. Я болею за нее уже много лет.
9093	Какой сегодня день недели?	Сегодня вторник.
9094	Сегодня вторник.	А когда была Вторая мировая война?
9095	Где находится Кремль?	Кремль расположен в Москве.
9096	Кремль расположен в Москве.	Сколько человек живет в Китае?
9097	Луна - единственный естественный спутник Земли.	Действительно, Луна не имеет света или атмосферы.
9098	Действительно, Луна не имеет света или атмосферы.	Луна сформировалась около 4,5 миллиардов лет назад.
9099	Какое твое самое любимое блюдо?	Мое самое любимое блюдо - это пицца! Особенно с много овощами и мясом. А какое твое?
9100	Мое самое любимое блюдо - это пицца! Особенно с много овощами и мясом. А какое твое?	Мне очень нравится картофель по-деревенски. Это такое простое, но очень вкусное блюдо. А ты умеешь готовить пиццу?
9101	Что ты думаешь о нашей свадьбе?	Я думаю, что это будет самый счастливый день нашей жизни.
9102	Я думаю, что это будет самый счастливый день нашей жизни.	Но я также думаю, что мы должны сосредоточиться на том, чтобы сделать свадьбу более персональной и уникальной для нас.
9103	Почему ты решил сделать это без меня?	Я подумал, что справлюсь сам.
9104	Я подумал, что справлюсь сам.	Но я понимаю, что тебе бы тоже хотелось помочь, извини.
9105	Какие книги ты читала в последнее время?	"Я только что закончила чтение ""Мастер и Маргарита"" Михаила Булгакова."
9106	"Я только что закончила чтение ""Мастер и Маргарита"" Михаила Булгакова."	Очень рекомендую эту книгу всем, кто еще не читал!
9107	Ты знаешь, я уже устал от этой рутины. Что можем сделать, чтобы разнообразить нашу жизнь?	Я согласна, давай что-нибудь придумаем!
9108	Я согласна, давай что-нибудь придумаем!	Может быть, мы сделаем список интересных мест, которые хотим посетить?
9109	Почему ты всегда все делаешь в последний момент?	Я просто люблю работать под давлением времени.
9110	Я просто люблю работать под давлением времени.	Но это так неэффективно, ты же мог бы лучше спланировать свою работу.
9111	Недавно прошла крупнейшая в мире кибератака.	Да, я читал об этом в новостях.
9112	Да, я читал об этом в новостях.	Атакованы были государственные учреждения и крупные компании.
9113	Никак не могу понять, почему мы снова здесь.	Возможно, это судьба.
9114	Возможно, это судьба.	Я думаю, у нас есть еще незавершенные дела здесь.
9115	Привет!	Здравствуйте!
9116	Здравствуйте!	Как погода на улице?
9117	Слышал новость об открытии нового ресторана?	Нет, какого ресторана?
9118	Нет, какого ресторана?	Это будет итальянский ресторан с пастой и пиццей!
9119	Что ты думаешь о текущей политической ситуации?	Я не очень следую политике, тебе интересно?
9120	Я не очень следую политике, тебе интересно?	Да, меня беспокоит многое, но что конкретно хотелось бы узнать?
9121	Мне интересно узнать больше о космосе	Космос изучать очень интересно, особенно теории существования черных дыр
9122	Космос изучать очень интересно, особенно теории существования черных дыр	А как человечество достигло возможности исследовать космос?
9123	Группа Великобритании вышла из ЕС в 2020 году.	Это неверно. Группа Великобритании, известная как Великобритания, вышла из ЕС в 2021 году.
9124	Это неверно. Группа Великобритании, известная как Великобритания, вышла из ЕС в 2021 году.	На Земле 365 дней в году.
9125	Привет, как дела?	Привет! У меня все отлично, а у тебя?
9126	Привет! У меня все отлично, а у тебя?	Тоже хорошо. А ты знаешь, что наша планета Земля вращается вокруг Солнца?
9127	Какой был твой день?	Мой день был не очень хорошим.
9128	Мой день был не очень хорошим.	Почему так?
9129	Только представь, как было бы здорово, если бы это удалось	Я согласен, это было бы невероятно круто!
9130	Я согласен, это было бы невероятно круто!	Ммм, да, воображение создает мир, и у нас есть воображение.
9131	Моя любимая еда это пицца	Она очень калорийная, но так вкусно!
9132	Она очень калорийная, но так вкусно!	А мне больше нравится салат из рукколы и томатов
9133	Добрый день, как дела?	Привет, все хорошо, а у тебя?
9134	Привет, все хорошо, а у тебя?	У меня тоже все отлично, слышал ли ты о космических кораблях?
9135	Где находится самое большое озеро в мире?	Самое большое озеро в мире - это Каспийское море, находящееся между Россией и Ираном.
9136	Самое большое озеро в мире - это Каспийское море, находящееся между Россией и Ираном.	Какой планетой является наша Луна?
9137	Как бы мне хотелось отправиться в путешествие!	Я тоже этого хочу, ответила женщина.
9138	Я тоже этого хочу, ответила женщина.	Давайте организуем совместный отпуск и поедем куда-нибудь вместе.
9139	Добрый день. Я хочу приобрести новый смартфон	Здравствуйте. Какой бренд вам интересен?
9140	Здравствуйте. Какой бренд вам интересен?	Я думаю о Samsung или Apple
9141	Ты был прав в том, что сказал о моем бывшем?	Я не знаю, что ты имеешь в виду.
9142	Я не знаю, что ты имеешь в виду.	Но если я что-то сказал, что тебе не понравилось, то извини. Не хотел обидеть.
9143	Куда мы идем сегодня?	Я думал мы пойдем в парк.
9144	Я думал мы пойдем в парк.	Может быть лучше выбрать что-то более активное?
9145	Что ты думаешь о нашей отношениях? 	Я думаю, что у нас все хорошо.
9146	Я думаю, что у нас все хорошо.	Но мне кажется, нам нужно больше времени проводить вместе.
9147	Я не понимаю, почему ты всегда такой агрессивный, когда мы говорим о наших проблемах.	Я не замечаю, что я агрессивный. Возможно, мне кажется, что мы не можем обсуждать наши проблемы. 
9148	Я не замечаю, что я агрессивный. Возможно, мне кажется, что мы не можем обсуждать наши проблемы. 	Давай попробуем говорить о наших чувствах и проблемах с большей открытостью и пониманием. Это может помочь нам решить наши проблемы. 
9149	Привет, я хочу заказать пиццу	Здравствуйте, какую пиццу вы бы хотели заказать?
9150	Здравствуйте, какую пиццу вы бы хотели заказать?	Я бы хотела пиццу с грибами и колбасой
9151	Что тебе нравится делать в свободное время	Обычно я читаю книги или смотрю фильмы.
9152	Обычно я читаю книги или смотрю фильмы.	А какие книги тебе нравятся?
9153	Я никогда не думал, что могу так сильно ошибаться в оценке человека.	Что случилось? Расскажи мне об этом.
9154	Что случилось? Расскажи мне об этом.	Я думаю, что у каждого человека есть свои тайны и причины для своего поведения.
9155	Как твоя работа, нравится ли тебе?	Да, мне очень нравится моя работа. Я получаю много удовольствия от того, что делаю. А у тебя?
9156	Да, мне очень нравится моя работа. Я получаю много удовольствия от того, что делаю. А у тебя?	У меня тоже все хорошо с работой, я люблю свою профессию.
9157	Привет!	Как дела?
9158	Как дела?	"	Нет, еще не успел. Хочешь, я могу одолжить тебе?"
9159	Максим был первым космонавтом, совершившим десять выходов в открытый космос.	Действительно интересный факт. А вы знали, что стенки желудка человека созданы таким образом, чтобы выдерживать его собственную кислоту?
9160	Действительно интересный факт. А вы знали, что стенки желудка человека созданы таким образом, чтобы выдерживать его собственную кислоту?	Эх, эти наши тела! Кстати, Папа Римский Франциск имеет только одну легкую.
9161	А какой у вас питомец?	У меня кошка. Да, уже много лет. Но в последнее время из-за работы не могу уделять ей столько времени, сколько хотелось бы.
9162	У меня кошка. Да, уже много лет. Но в последнее время из-за работы не могу уделять ей столько времени, сколько хотелось бы.	Понимаю, это непросто. Но надеюсь, вы все же находите время для нее и она вас радует.
9163	Привет, как дела?	Привет! У меня все хорошо. А у тебя?
9164	Привет! У меня все хорошо. А у тебя?	У меня тоже все отлично. А ты знаешь, что в Китае живут более 1,4 миллиарда человек?
9165	Привет, как дела?	Привет, у меня всё хорошо. А у тебя?
9166	Привет, у меня всё хорошо. А у тебя?	У меня тоже всё хорошо. Кстати, ты знаешь, что на Землю регулярно падают метеориты?
9167	Привет, как дела?	Привет, все отлично, спасибо за спрос. А у тебя?
9168	Привет, все отлично, спасибо за спрос. А у тебя?	Тоже нормально, работаю, учусь, занимаюсь спортом и т.д.
9169	Почему ты так долго не отвечал на мои сообщения?	Извини, у меня было много дел.
9170	Извини, у меня было много дел.	Также я занимался другими важными делами.
9171	Не говори глупости. Ты подходишь для любой работы и ты это знаешь.	Но мне нужно найти работу, которая мне действительно понравится.
9172	Но мне нужно найти работу, которая мне действительно понравится.	Конечно, я понимаю. Но пока ты ищешь свою идеальную работу, можешь поработать в чем-то временном.
9173	Добрый день, я хочу узнать, какие достопримечательности есть в Москве?	Здравствуйте! В Москве очень много достопримечательностей. Вы можете прогуляться по Красной площади, посетить Кремль, посмотреть нашу телебашню и многое другое
9174	Здравствуйте! В Москве очень много достопримечательностей. Вы можете прогуляться по Красной площади, посетить Кремль, посмотреть нашу телебашню и многое другое	А какая история связана с Красной площадью?
9175	Москва – столица России	В Москве находится Кремль
9176	В Москве находится Кремль	Кремль был построен в XV веке
9177	Здравствуйте, я живу в Москве.	Здравствуйте, как настроение? Это хорошо, что вы живете в Москве, здесь множество возможностей.
9178	Здравствуйте, как настроение? Это хорошо, что вы живете в Москве, здесь множество возможностей.	Да, у меня все хорошо, спасибо за спрос. А вы тоже проживаете в Москве?
9179	Здравствуйте! Я представитель компании X и хотел бы поговорить о сотрудничестве.	Здравствуйте! Конечно, давайте обсудим возможности нашего сотрудничества.
9180	Здравствуйте! Конечно, давайте обсудим возможности нашего сотрудничества.	Хорошо, на что бы вы хотели обратить особенное внимание в нашем предложении?
9181	Ты действительно считаешь, что это было правильно, что ты сделал?	Не знаю, может быть и нет.
9182	Не знаю, может быть и нет.	Ты не уверен? Это было некрасиво.
9183	Какой сегодня день недели?	Сегодня понедельник.
9184	Сегодня понедельник.	А когда была основана Москва?
9185	Моя любимая еда это пицца.	Пицца обычно делается с помощью теста, томатного соуса, сыра и различных начинок.
9186	Пицца обычно делается с помощью теста, томатного соуса, сыра и различных начинок.	Какие именно начинки вы предпочитаете?
9187	Ты знаешь, что самая высокая гора в Солнечной системе находится на Марсе?	Да, это гора Олимп.
9188	Да, это гора Олимп.	А как ты думаешь, какая планета является самой близкой к Солнцу?
9189	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
9190	Привет! У меня все хорошо, а у тебя?	У меня тоже все хорошо. Ты знаешь, что сегодня День России?
9191	Привет! Как ты сюда попал?	Нет, я случайно попал на эту вечеринку. А ты?
9192	Нет, я случайно попал на эту вечеринку. А ты?	Я? Я звездой вечеринки!
9193	Добрый день, я хочу заказать пиццу	Здравствуйте! Какой размер и какие ингредиенты вам нужны?
9194	Здравствуйте! Какой размер и какие ингредиенты вам нужны?	Мне нужна средняя пицца с грибами и перцем
9195	Какие книги ты читаешь в последнее время?	Я сейчас читаю книгу '1984' Джорджа Оруэлла. А ты читал ее когда-нибудь?
9196	Я сейчас читаю книгу '1984' Джорджа Оруэлла. А ты читал ее когда-нибудь?	Да, я читал '1984' пару лет назад. Очень впечатлилась этой книгой.
9197	Привет, как дела?	Привет, у меня все отлично, а у тебя?
9198	Привет, у меня все отлично, а у тебя?	Тоже все хорошо, недавно я узнал, что индейцы Северной Америки использовали бурундуков в качестве охотничьих помощников
9199	Привет, как дела?	Привет! У меня все замечательно, а у тебя как?
9200	Привет! У меня все замечательно, а у тебя как?	У меня тоже все хорошо. Слышал, что сегодня день рождения у нашего начальника?
9201	Привет, как дела?	Привет, все хорошо, спасибо. А у тебя?
9202	Привет, все хорошо, спасибо. А у тебя?	У меня тоже все хорошо, спасибо. Хочешь узнать несколько фактов?
9203	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
9204	Привет! У меня все хорошо, а у тебя?	У меня тоже все хорошо. Ты знаешь, что в России самая длинная железнодорожная сеть в мире?
9205	Что ты думаешь об этом новом сериале?	Я ещё не смотрела его, а ты?
9206	Я ещё не смотрела его, а ты?	Мне понравился первый эпизод, буду смотреть дальше.
9207	Сегодня в России прошли выборы мэра	Интересно, кто победил в этих выборах?
9208	Интересно, кто победил в этих выборах?	Победу одержал кандидат от партии «Единая Россия»
9209	Здравствуйте! Я бот, что вы здесь делаете?	Привет! Я искал информацию о туристических маршрутах.
9210	Привет! Я искал информацию о туристических маршрутах.	Какие маршруты вас интересуют?
9211	Кажется, сегодня холодно на улице	Да, по данным метеостанции, сейчас за окном -5 градусов
9212	Да, по данным метеостанции, сейчас за окном -5 градусов	А сколько будет градусов завтра?
9213	Привет, как дела?	Привет! У меня все хорошо, а у тебя?
9214	Привет! У меня все хорошо, а у тебя?	Тоже неплохо. Ты знаешь, что в мире насчитывается более 7 миллиардов человек?
9215	Ты думаешь, что мы сможем это сделать?	Я уверен, что да, нужно только постараться
9216	Я уверен, что да, нужно только постараться	Но у нас есть так мало времени
9217	В России самая высокая гора - это Эльбрус.	Да, Эльбрус является самой высокой горой не только в России, но и в Европе.
9218	Да, Эльбрус является самой высокой горой не только в России, но и в Европе.	А какая самая большая река в России?
9219	Москва столица России?	Да, вы правы, Москва является столицей России
9220	Да, вы правы, Москва является столицей России	Как называется самый большой океан на Земле?
9221	Как вы справляетесь со стрессом?	Я обычно занимаюсь йогой или медитацией.
9222	Я обычно занимаюсь йогой или медитацией.	А вы, как справляетесь со стрессом?
9223	В России 11 часов вечера	Да, это так. Но в США сейчас 10 утра
9224	Да, это так. Но в США сейчас 10 утра	Какая там погода?
9225	Ты был прав, когда говорил, что мы двигаемся в неправильном направлении.	Неужели ты все еще думаешь об этом?
9226	Неужели ты все еще думаешь об этом?	Да, я не могу перестать думать об этом. Я беспокоюсь, что мы повернули не туда и это может навредить нам в долгосрочной перспективе.
9227	Спасибо, но я уже замужем, помнишь? А как у тебя дела с работой?	Ты всегда мне напоминаешь об этом! Но я все равно не могу не замечать, какая ты красавица.
9228	Ты всегда мне напоминаешь об этом! Но я все равно не могу не замечать, какая ты красавица.	С работой все нормально, спасибо. В общем-то, недавно получил повышение.
9229	Я не знаю, что со мной происходит. Может быть, ты можешь мне помочь?	Конечно, я с радостью помогу. Расскажи, что у тебя происходит?
9230	Конечно, я с радостью помогу. Расскажи, что у тебя происходит?	Может, тебе нужно поговорить с профессиональным психологом?
9231	Что ты считаешь наиболее важным в отношениях?	Для меня важна открытость и честность.
9232	Для меня важна открытость и честность.	А для тебя?
9233	Мы чтото сделали, что её задели.	Что именно вы сделали?
9234	Что именно вы сделали?	Кажется, это было нечаянно. Мы не хотели обидеть её.
9235	Что ты думаешь о новом преподавателе?	Я думаю, что он очень компетентный и интересный преподаватель.
9236	Я думаю, что он очень компетентный и интересный преподаватель.	Согласен, он действительно умеет заинтересовать студентов своими лекциями.
9237	Ты уверен, что хочешь это сделать?	Я думаю, да. Я долго обдумывал это решение.
9238	Я думаю, да. Я долго обдумывал это решение.	Но это может повлиять на твою жизнь и жизнь твоих близких. Ты все взвесил?
9239	Не очень хорошо, у меня болит голова.	Может, тебе нужно отдохнуть?
9240	Может, тебе нужно отдохнуть?	Есть ли у тебя какие-нибудь таблетки от головной боли?
9241	20% населения Земли говорят по-китайски	Да, это один из самых распространенных языков в мире
9242	Да, это один из самых распространенных языков в мире	Мозг человека потребляет около 20% потребляемой энергии человеком
9243	Как тебе новый фильм?	Мне понравилось, особенно актерская игра.
9244	Мне понравилось, особенно актерская игра.	Да, актеры действительно справились с задачей.
9245	Привет, как дела?	Привет! У меня все хорошо. А у тебя?
9246	Привет! У меня все хорошо. А у тебя?	У меня тоже все отлично. Ты знал, что самая большая река в России - это река Обь?
9247	Почему ты всё время плачешь?	Я просто грущу за своего погибшего кота.
9248	Я просто грущу за своего погибшего кота.	Он был таким хорошим.
9249	Привет, как дела?	Привет, у меня все хорошо. А у тебя как?
9250	Привет, у меня все хорошо. А у тебя как?	У меня тоже все хорошо. Сегодня в новостях я видел, что началось раскрытие тайны Бермудского треугольника.
9251	Какую работу ты бы выбрал, если бы деньги не были бы проблемой?	Я бы, наверное, выбрал работу в сфере искусства. Я всегда мечтал стать художником или дизайнером. А ты?
9252	Я бы, наверное, выбрал работу в сфере искусства. Я всегда мечтал стать художником или дизайнером. А ты?	Я бы, скорее всего, работал в области путешествий и туризма. Мне очень нравится путешествовать и я бы хотел делиться своими знаниями и опытом с другими людьми
9253	Привет, я думаю, что сегодня будет дождь	По прогнозу погоды, дождя не ожидается
9254	По прогнозу погоды, дождя не ожидается	Но я видел черные облака на небе
9255	Как твоя семья? Что нового?	У нас все хорошо, спасибо. Недавно вернулись с отпуска на море.
9256	У нас все хорошо, спасибо. Недавно вернулись с отпуска на море.	О, как было? Расскажи подробнее.
9257	В России самый высокий горный хребет в Европе.	Да, это Кавказ.
9258	Да, это Кавказ.	В Москве есть больше всего миллионеров в мире.
9259	Как твоя работа на новом проекте?	На самом деле, довольно трудно, но очень интересно.
9260	На самом деле, довольно трудно, но очень интересно.	Я узнаю много нового и развиваю свои навыки. А у тебя как дела?
9261	Я не уверен, но мы не можем просто сидеть и ничего не делать.	Я согласен. Что бы ты предложил?
9262	Я согласен. Что бы ты предложил?	Может быть, начать с исследования проблемы и поиска возможных решений?
9263	Нам нужно найти решение для этой проблемы.	Я думаю, нам стоит провести встречу и обсудить все вместе.
9264	Я думаю, нам стоит провести встречу и обсудить все вместе.	Да, это хорошая идея. Какой день вам подойдет?
